からしか	368	279	3969	からしか
からは	368	283	1824	からは
からも	368	284	2176	からも
からや	368	285	6675	からや
がしか	369	279	6401	がしか
がすら	369	280	7719	がすら
がは	369	283	5480	がは
がも	369	284	5370	がも
がや	369	285	7025	がや
っていうも	392	284	4683	っていうも
っては	391	283	4709	っては
っても	391	284	4022	っても
っとしか	386	279	4056	っとしか
っとは	386	283	3325	っとは
っとは	388	283	2350	ットは
っとも	386	284	3700	っとも
っとも	388	284	2674	ットも
でこそ	370	277	4298	でこそ
でこそ	381	277	4478	デこそ
でさえ	370	278	3695	でさえ
でしか	370	279	3189	でしか
でしか	381	279	4440	デしか
ですら	370	280	5410	ですら
では	370	283	1116	では
では	381	283	1573	デは
でも	370	284	1656	でも
でも	381	284	2500	デも
でや	370	285	6205	でや
というしか	395	279	5166	というしか
とこそ	371	277	7059	とこそ
とこそ	387	277	5970	とこそ
とさえ	371	278	7130	とさえ
とさえ	387	278	5229	とさえ
としか	371	279	5252	としか
としか	387	279	3773	としか
とすら	371	280	7361	とすら
とすら	387	280	5341	とすら
とぞ	371	281	6897	とぞ
とぞ	387	281	5468	とぞ
とは	371	283	1501	とは
とは	387	283	2171	とは
とも	371	284	3325	とも
とも	387	284	2450	とも
とや	371	285	6372	とや
とや	387	285	4774	とや
にこそ	372	277	4388	にこそ
にしか	372	279	3584	にしか
にすら	372	280	4687	にすら
についてしか	397	279	4987	についてしか
については	397	283	963	については
についても	397	284	1728	についても
についてや	397	285	4112	についてや
にては	373	283	3613	にては
にても	373	284	3433	にても
にとってさえ	398	278	4879	にとってさえ
にとっては	398	283	771	にとっては
にとっても	398	284	1282	にとっても
には	372	283	1476	には
にも	372	284	1850	にも
にや	372	285	5941	にや
のは	382	283	1719	ノは
のは	385	283	3062	之は
のも	374	284	5414	のも
のも	382	284	2751	ノも
へしか	375	279	5630	へしか
へぞ	375	281	5571	へぞ
へは	375	283	2596	へは
へは	383	283	2746	ヘは
へも	375	284	3004	へも
へも	383	284	3597	ヘも
へや	375	285	6115	へや
ものしか	376	279	4132	ものしか
ものは	376	283	2051	ものは
ものも	376	284	2518	ものも
よかは	377	283	2832	よかは
よりは	378	283	2103	よりは
よりも	378	284	924	よりも
よりや	378	285	5651	よりや
をこそ	379	277	6021	をこそ
をさえ	379	278	6697	をさえ
をしか	379	279	6898	をしか
をしか	384	279	3485	ヲしか
をすら	379	280	6956	をすら
をぞ	379	281	6514	をぞ
をは	379	283	5548	をは
をは	384	283	1629	ヲは
をも	379	284	4128	をも
をも	384	284	2440	ヲも
をや	379	285	7073	をや
んは	380	283	3461	んは
んも	380	284	3798	んも
